word,source_grade_hint,normalized_band,source_list,rank,count,academic,pos,notes,band,preferred_band,beginner_score,intermediate_score,advanced_score,source_tags,source_files
repertoire,6,6-8,intermediate_6_to_8,1,1759,true,n,tier2_nawl_academic+nawl_rank_1+grade_estimate_6,intermediate,intermediate,6.949,31.098,12.973,intermediate_seed,intermediate_6_to_8.csv
distribution,6,6-8,intermediate_6_to_8,3,369,true,n,tier2_nawl_academic+nawl_rank_3+grade_estimate_6,intermediate,intermediate,6.547,31.063,15.405,intermediate_seed,intermediate_6_to_8.csv
authority,6,6-8,intermediate_6_to_8,11,178,true,n,tier2_nawl_academic+nawl_rank_11+grade_estimate_6,intermediate,intermediate,6.364,30.819,13.692,intermediate_seed,intermediate_6_to_8.csv
cognitive,6,6-8,intermediate_6_to_8,17,161,true,adj,tier2_nawl_academic+nawl_rank_17+grade_estimate_6,intermediate,intermediate,6.34,30.786,13.663,intermediate_seed,intermediate_6_to_8.csv
correlation,6,6-8,intermediate_6_to_8,19,150,true,n,tier2_nawl_academic+nawl_rank_19+grade_estimate_6,intermediate,intermediate,6.322,30.763,15.143,intermediate_seed,intermediate_6_to_8.csv
velocity,6,6-8,intermediate_6_to_8,23,146,true,n,tier2_nawl_academic+nawl_rank_23+grade_estimate_6,intermediate,intermediate,6.316,30.754,13.635,intermediate_seed,intermediate_6_to_8.csv
transformation,6,6-8,intermediate_6_to_8,37,125,true,n,tier2_nawl_academic+nawl_rank_37+grade_estimate_6,intermediate,intermediate,6.278,30.704,15.091,intermediate_seed,intermediate_6_to_8.csv
simulation,6,6-8,intermediate_6_to_8,43,116,true,n,tier2_nawl_academic+nawl_rank_43+grade_estimate_6,intermediate,intermediate,6.26,30.68,13.57,intermediate_seed,intermediate_6_to_8.csv
variance,6,6-8,intermediate_6_to_8,46,108,true,n,tier2_nawl_academic+nawl_rank_46+grade_estimate_6,intermediate,intermediate,6.243,30.658,13.55,intermediate_seed,intermediate_6_to_8.csv
intensity,6,6-8,intermediate_6_to_8,54,99,true,n,tier2_nawl_academic+nawl_rank_54+grade_estimate_6,intermediate,intermediate,6.222,30.63,13.526,intermediate_seed,intermediate_6_to_8.csv
obtain,6,6-8,intermediate_6_to_8,2,449,true,v,tier2_nawl_academic+nawl_rank_2+grade_estimate_6,intermediate,intermediate,7.397,30.629,11.863,intermediate_seed,intermediate_6_to_8.csv
regression,6,6-8,intermediate_6_to_8,55,98,true,n,tier2_nawl_academic+nawl_rank_55+grade_estimate_6,intermediate,intermediate,6.22,30.627,13.523,intermediate_seed,intermediate_6_to_8.csv
identification,6,6-8,intermediate_6_to_8,57,96,true,n,tier2_nawl_academic+nawl_rank_57+grade_estimate_6,intermediate,intermediate,6.215,30.62,15.018,intermediate_seed,intermediate_6_to_8.csv
candidate,6,6-8,intermediate_6_to_8,59,94,true,n,tier2_ngsl_nawl_overlap+ngsl_rank_977+nawl_rank_59+grade_estimate_6,intermediate,intermediate,6.21,30.614,13.512,intermediate_seed,intermediate_6_to_8.csv
correlate,6,6-8,intermediate_6_to_8,61,93,true,v,tier2_nawl_academic+nawl_rank_61+grade_estimate_6,intermediate,intermediate,6.208,30.61,13.509,intermediate_seed,intermediate_6_to_8.csv
mortality,6,6-8,intermediate_6_to_8,62,93,true,n,tier2_nawl_academic+nawl_rank_62+grade_estimate_6,intermediate,intermediate,6.208,30.61,13.509,intermediate_seed,intermediate_6_to_8.csv
duration,6,6-8,intermediate_6_to_8,66,91,true,n,tier2_nawl_academic+nawl_rank_66+grade_estimate_6,intermediate,intermediate,6.203,30.603,13.503,intermediate_seed,intermediate_6_to_8.csv
consumption,6,6-8,intermediate_6_to_8,68,90,true,n,tier2_nawl_academic+nawl_rank_68+grade_estimate_6,intermediate,intermediate,6.2,30.6,15.0,intermediate_seed,intermediate_6_to_8.csv
sensitivity,6,6-8,intermediate_6_to_8,70,89,true,n,tier2_nawl_academic+nawl_rank_70+grade_estimate_6,intermediate,intermediate,6.197,30.597,14.997,intermediate_seed,intermediate_6_to_8.csv
appropriate,6,6-8,intermediate_6_to_8,1019,89,false,v,tier1_ngsl_general+ngsl_rank_1019+grade_estimate_6,intermediate,intermediate,4.197,30.597,12.997,intermediate_seed,intermediate_6_to_8.csv
